Variable,Min,Max,Mean,Shape,Graphs
variable_9808,-0.0,1.0,0.3333333333333333,"(3, 3)",graph
variable_9809,0.0,0.0,0.0,"(12, 12)",graph
variable_9810,0.0,1.0,0.020833333333333332,"(12, 12)",graph
variable_9811,0.0,1.0,0.041666666666666664,"(12, 12)",graph
variable_9812,0.0,1.0,0.0625,"(12, 12)",graph
variable_9813,0.0,1.0,0.08333333333333333,"(12, 12)",graph
variable_9814,0.0,1.0,0.0625,"(20, 12, 12)",graph
variable_9815,0.0,1.0,0.08333333333333333,"(12, 12)",graph
variable_9816,-40522584.38708154,54030112.51610872,3376882.032256795,"(12, 12)",graph
variable_9817,-40522584.38708154,54030112.51610872,10130646.096770385,"(12, 12)",graph
variable_9818,-40522584.38708154,54030112.51610872,7597984.572577789,"(20, 12, 12)",graph
variable_9819,0.0,12.0,4.0,"(3,)","graph,sub"
variable_9820,0.0,10.0,3.3333333333333335,"(3,)","graph,sub"
variable_9821,0.0,2.0,0.6666666666666666,"(3,)","graph,sub,norm"
variable_9822,2.0,2.0,2.0,"(1,)","graph,norm"
variable_9823,0.003138451060936203,0.003138451060936203,0.003138451060936203,"(1,)",graph
variable_9824,0.00039152255446455597,0.00039152255446455597,0.00039152255446455597,"(1,)",graph
variable_9825,0.00039152255446455597,0.00039152255446455597,0.00039152255446455597,"(1,)",graph
variable_9826,0.0007830451089291119,0.0007830451089291119,0.0007830451089291119,"(1,)",graph
variable_9827,0.0,0.0,0.0,"(12, 12)",graph
variable_9828,69000000000.0,69000000000.0,69000000000.0,"(1,)",graph
variable_9829,216553123.204598,216553123.204598,216553123.204598,"(1,)",graph
variable_9830,108276561.602299,108276561.602299,108276561.602299,"(1,)",graph
variable_9831,0.0,108276561.602299,751920.566682632,"(12, 12)",graph
variable_9832,108276561.602299,108276561.602299,108276561.602299,"(1,)",graph
variable_9833,828000000000.0,828000000000.0,828000000000.0,"(1,)",graph
variable_9834,324180675.0966523,324180675.0966523,324180675.0966523,"(1,)",graph
variable_9835,3.0,3.0,3.0,"(1,)",graph
variable_9836,8.0,8.0,8.0,"(1,)",graph
variable_9837,40522584.38708154,40522584.38708154,40522584.38708154,"(1,)",graph
variable_9838,0.0,108276561.602299,1033327.4027040316,"(12, 12)",graph
variable_9839,414000000000.0,414000000000.0,414000000000.0,"(1,)",graph
variable_9840,162090337.54832616,162090337.54832616,162090337.54832616,"(1,)",graph
variable_9841,2.0,2.0,2.0,"(1,)",graph
variable_9842,4.0,4.0,4.0,"(1,)",graph
variable_9843,40522584.38708154,40522584.38708154,40522584.38708154,"(1,)",graph
variable_9844,0.0,108276561.602299,1314734.238725431,"(12, 12)",graph
variable_9845,414000000000.0,414000000000.0,414000000000.0,"(1,)",graph
variable_9846,162090337.54832616,162090337.54832616,162090337.54832616,"(1,)",graph
variable_9847,2.0,2.0,2.0,"(1,)",graph
variable_9848,4.0,4.0,4.0,"(1,)",graph
variable_9849,40522584.38708154,40522584.38708154,40522584.38708154,"(1,)",graph
variable_9850,0.0,108276561.602299,1596141.0747468306,"(12, 12)",graph
variable_9851,828000000000.0,828000000000.0,828000000000.0,"(1,)",graph
variable_9852,324180675.0966523,324180675.0966523,324180675.0966523,"(1,)",graph
variable_9853,3.0,3.0,3.0,"(1,)",graph
variable_9854,8.0,8.0,8.0,"(1,)",graph
variable_9855,40522584.38708154,40522584.38708154,40522584.38708154,"(1,)",graph
variable_9856,0.0,108276561.602299,1877547.9107682304,"(12, 12)",graph
variable_9857,-414000000000.0,-414000000000.0,-414000000000.0,"(1,)",graph
variable_9858,-162090337.54832616,-162090337.54832616,-162090337.54832616,"(1,)",graph
variable_9859,2.0,2.0,2.0,"(1,)",graph
variable_9860,4.0,4.0,4.0,"(1,)",graph
variable_9861,-40522584.38708154,-40522584.38708154,-40522584.38708154,"(1,)",graph
variable_9862,-40522584.38708154,108276561.602299,1596141.0747468306,"(12, 12)",graph
variable_9863,-414000000000.0,-414000000000.0,-414000000000.0,"(1,)",graph
variable_9864,-162090337.54832616,-162090337.54832616,-162090337.54832616,"(1,)",graph
variable_9865,2.0,2.0,2.0,"(1,)",graph
variable_9866,4.0,4.0,4.0,"(1,)",graph
variable_9867,-40522584.38708154,-40522584.38708154,-40522584.38708154,"(1,)",graph
variable_9868,-40522584.38708154,108276561.602299,1314734.238725431,"(12, 12)",graph
variable_9869,26000000000.0,26000000000.0,26000000000.0,"(1,)",graph
variable_9870,20359172.83215691,20359172.83215691,20359172.83215691,"(1,)",graph
variable_9871,10179586.416078456,10179586.416078456,10179586.416078456,"(1,)",graph
variable_9872,-40522584.38708154,108276561.602299,1385425.8110593094,"(12, 12)",graph
variable_9873,276000000000.0,276000000000.0,276000000000.0,"(1,)",graph
variable_9874,108060225.03221744,108060225.03221744,108060225.03221744,"(1,)",graph
variable_9875,54030112.51610872,54030112.51610872,54030112.51610872,"(1,)",graph
variable_9876,-40522584.38708154,108276561.602299,1760634.9257545087,"(12, 12)",graph
variable_9877,276000000000.0,276000000000.0,276000000000.0,"(1,)",graph
